Delta Time, Y Point, X Point, Position, Velocity, 
50, 9.657897, 26.939662, 0.000183, 0.007323, 
50, 9.657217, 26.939415, 0.000907, 0.014473, 
50, 9.655687, 26.938858, 0.002535, 0.032565, 
50, 9.652966, 26.937868, 0.005430, 0.057897, 
50, 9.648715, 26.936321, 0.009953, 0.090474, 
50, 9.642593, 26.934094, 0.016469, 0.130305, 
50, 9.634257, 26.931062, 0.025339, 0.177402, 
50, 9.623365, 26.927102, 0.036928, 0.231781, 
50, 9.609574, 26.922091, 0.051601, 0.293467, 
50, 9.592539, 26.915903, 0.069726, 0.362488, 
50, 9.571912, 26.908416, 0.091670, 0.438880, 
50, 9.547344, 26.899504, 0.117804, 0.522688, 
50, 9.518483, 26.889042, 0.148502, 0.613964, 
50, 9.484975, 26.876905, 0.184141, 0.712773, 
50, 9.446461, 26.862966, 0.225100, 0.819185, 
50, 9.402579, 26.847094, 0.271764, 0.933286, 
50, 9.352962, 26.829158, 0.324523, 1.055171, 
50, 9.297241, 26.809022, 0.383770, 1.184949, 
50, 9.235041, 26.786546, 0.449908, 1.322744, 
50, 9.165980, 26.761581, 0.523342, 1.468693, 
50, 9.089674, 26.733970, 0.604490, 1.622953, 
50, 9.005733, 26.703545, 0.693775, 1.785697, 
50, 8.913936, 26.670185, 0.791446, 1.953418, 
50, 8.814233, 26.633816, 0.897574, 2.122575, 
50, 8.706576, 26.594344, 1.012240, 2.293309, 
50, 8.590914, 26.551652, 1.135529, 2.465776, 
50, 8.467202, 26.505596, 1.267536, 2.640146, 
50, 8.335394, 26.455999, 1.408366, 2.816607, 
50, 8.195450, 26.402649, 1.558135, 2.995372, 
50, 8.047336, 26.345287, 1.716969, 3.176681, 
50, 7.891025, 26.283605, 1.885009, 3.360811, 
50, 7.726503, 26.217237, 2.062413, 3.548075, 
50, 7.553771, 26.145747, 2.249355, 3.738835, 
50, 7.372849, 26.068620, 2.446030, 3.933508, 
50, 7.183787, 25.985250, 2.652659, 4.132565, 
50, 6.986670, 25.894924, 2.869486, 4.336541, 
50, 6.781635, 25.796808, 3.096787, 4.546027, 
50, 6.568890, 25.689930, 3.334870, 4.761665, 
50, 6.348733, 25.573161, 3.584076, 4.984119, 
50, 6.121595, 25.445204, 3.844777, 5.214026, 
50, 5.888250, 25.304685, 4.117166, 5.447768, 
50, 5.649871, 25.150196, 4.401228, 5.681238, 
50, 5.407907, 24.980231, 4.696921, 5.913872, 
50, 5.164142, 24.793250, 5.004140, 6.144380, 
50, 4.920754, 24.587774, 5.322665, 6.370499, 
50, 4.680348, 24.362529, 5.652104, 6.588782, 
50, 4.445942, 24.116626, 5.991832, 6.794544, 
50, 4.220878, 23.849754, 6.340936, 6.982097, 
50, 4.008639, 23.562359, 6.698206, 7.145391, 
50, 3.812579, 23.255730, 7.062157, 7.279025, 
50, 3.635615, 22.931968, 7.431127, 7.379389, 
50, 3.479945, 22.593801, 7.803403, 7.445533, 
50, 3.346882, 22.244305, 8.177373, 7.479388, 
50, 3.236825, 21.886590, 8.551635, 7.485247, 
50, 3.149369, 21.523539, 8.925072, 7.468738, 
50, 3.083493, 21.157636, 9.296857, 7.435702, 
50, 3.037775, 20.790908, 9.666424, 7.391340, 
50, 3.010581, 20.424930, 10.033412, 7.339748, 
50, 3.000211, 20.060886, 10.397603, 7.283820, 
50, 3.004441, 19.702570, 10.755944, 7.166832, 
50, 3.022052, 19.342969, 11.115976, 7.200634, 
50, 3.053860, 18.982277, 11.478068, 7.241844, 
50, 3.100589, 18.621743, 11.841617, 7.270978, 
50, 3.162808, 18.262652, 12.206058, 7.288829, 
50, 3.240879, 17.906406, 12.570759, 7.294013, 
50, 3.334918, 17.554494, 12.935019, 7.285200, 
50, 3.444753, 17.208444, 13.298081, 7.261242, 
50, 3.569913, 16.869766, 13.659146, 7.221303, 
50, 3.709624, 16.539883, 14.017395, 7.164967, 
50, 3.862836, 16.220074, 14.372009, 7.092295, 
50, 4.028265, 15.911421, 14.722200, 7.003816, 
50, 4.204449, 15.614773, 15.067224, 6.900468, 
50, 4.389812, 15.330731, 15.406398, 6.783484, 
50, 4.582727, 15.059655, 15.739111, 6.654261, 
50, 4.781569, 14.801683, 16.064822, 6.514230, 
50, 4.984762, 14.556759, 16.383060, 6.364745, 
50, 5.190807, 14.324676, 16.693410, 6.207011, 
50, 5.398306, 14.105108, 16.995512, 6.042041, 
50, 5.605966, 13.897651, 17.289044, 5.870642, 
50, 5.812605, 13.701850, 17.573716, 5.693425, 
50, 6.017148, 13.517228, 17.849257, 5.510823, 
50, 6.218617, 13.343306, 18.115413, 5.323121, 
50, 6.416128, 13.179616, 18.371937, 5.130486, 
50, 6.608954, 13.025654, 18.618689, 4.935033, 
50, 6.796600, 12.880832, 18.855721, 4.740644, 
50, 6.978714, 12.744564, 19.083174, 4.549052, 
50, 7.155004, 12.616316, 19.301177, 4.360073, 
50, 7.325225, 12.495609, 19.509853, 4.173518, 
50, 7.489178, 12.382012, 19.709313, 3.989204, 
50, 7.646693, 12.275143, 19.899661, 3.806953, 
50, 7.797635, 12.174658, 20.080991, 3.626598, 
50, 7.941889, 12.080254, 20.253390, 3.447985, 
50, 8.079363, 11.991660, 20.416938, 3.270967, 
50, 8.209982, 11.908638, 20.571709, 3.095413, 
50, 8.333685, 11.830977, 20.717769, 2.921198, 
50, 8.450422, 11.758493, 20.855179, 2.748209, 
50, 8.560157, 11.691023, 20.983997, 2.576342, 
50, 8.662858, 11.628425, 21.104272, 2.405500, 
50, 8.758503, 11.570574, 21.216051, 2.235593, 
50, 8.847075, 11.517362, 21.319378, 2.066536, 
50, 8.928562, 11.468697, 21.414291, 1.898251, 
50, 9.003039, 11.424448, 21.500921, 1.732613, 
50, 9.070747, 11.384401, 21.579586, 1.573289, 
50, 9.132005, 11.348310, 21.650685, 1.421988, 
50, 9.187135, 11.315939, 21.714616, 1.278624, 
50, 9.236459, 11.287060, 21.771772, 1.143121, 
50, 9.280300, 11.261456, 21.822543, 1.015411, 
50, 9.318982, 11.238913, 21.867315, 0.895437, 
50, 9.352829, 11.219223, 21.906472, 0.783147, 
50, 9.382165, 11.202184, 21.940397, 0.678495, 
50, 9.407312, 11.187597, 21.969469, 0.581443, 
50, 9.428595, 11.175264, 21.994067, 0.491959, 
50, 9.446337, 11.164993, 22.014568, 0.410014, 
50, 9.460861, 11.156591, 22.031347, 0.335585, 
50, 9.472490, 11.149867, 22.044779, 0.268652, 
50, 9.481546, 11.144633, 22.055239, 0.209200, 
50, 9.488353, 11.140701, 22.063100, 0.157217, 
50, 9.493232, 11.137883, 22.068735, 0.112693, 
50, 9.496506, 11.135992, 22.072516, 0.075621, 
50, 9.498498, 11.134842, 22.074816, 0.045998, 
50, 9.499529, 11.134246, 22.076007, 0.023818, 
50, 9.499923, 11.134019, 22.076461, 0.009082, 
50, 9.500000, 11.133975, 22.076550, 0.001787, 
50, 9.500000, 11.133975, 22.076550, 0.000000, 
