Delta Time, Y Point, X Point, Position, Velocity, 
50, 10.499916, 12.866074, 0.000176, 0.007042, 
50, 10.499378, 12.866385, 0.000798, 0.012435, 
50, 10.498167, 12.867084, 0.002197, 0.027979, 
50, 10.496013, 12.868329, 0.004684, 0.049737, 
50, 10.492650, 12.870274, 0.008569, 0.077705, 
50, 10.487810, 12.873078, 0.014163, 0.111877, 
50, 10.481227, 12.876900, 0.021775, 0.152241, 
50, 10.472637, 12.881900, 0.031714, 0.198784, 
50, 10.461779, 12.888242, 0.044288, 0.251485, 
50, 10.448530, 12.896015, 0.059649, 0.307218, 
50, 10.432902, 12.905230, 0.077792, 0.362858, 
50, 10.414910, 12.915903, 0.098711, 0.418388, 
50, 10.394573, 12.928052, 0.122401, 0.473790, 
50, 10.371911, 12.941696, 0.148853, 0.529046, 
50, 10.346947, 12.956857, 0.178060, 0.584137, 
50, 10.319708, 12.973560, 0.210012, 0.639045, 
50, 10.290223, 12.991831, 0.244700, 0.693749, 
50, 10.258524, 13.011700, 0.282111, 0.748231, 
50, 10.224647, 13.033200, 0.322235, 0.802468, 
50, 10.188631, 13.056364, 0.365057, 0.856441, 
50, 10.150519, 13.081230, 0.410563, 0.910128, 
50, 10.110358, 13.107837, 0.458738, 0.963508, 
50, 10.068198, 13.136227, 0.509566, 1.016557, 
50, 10.024094, 13.166446, 0.563029, 1.069255, 
50, 9.978107, 13.198540, 0.619108, 1.121578, 
50, 9.930301, 13.232559, 0.677783, 1.173505, 
50, 9.880744, 13.268557, 0.739034, 1.225014, 
50, 9.829513, 13.306587, 0.802838, 1.276083, 
50, 9.776686, 13.346708, 0.869173, 1.326694, 
50, 9.722352, 13.388979, 0.938014, 1.376828, 
50, 9.666601, 13.433464, 1.009338, 1.426469, 
50, 9.609533, 13.480227, 1.083118, 1.475604, 
50, 9.551253, 13.529335, 1.159329, 1.524224, 
50, 9.491874, 13.580858, 1.237945, 1.572325, 
50, 9.431514, 13.634867, 1.318941, 1.619909, 
50, 9.370301, 13.691436, 1.402290, 1.666984, 
50, 9.308367, 13.750639, 1.487968, 1.713569, 
50, 9.245855, 13.812554, 1.575953, 1.759692, 
50, 9.182912, 13.877259, 1.666223, 1.805393, 
50, 9.119694, 13.944835, 1.758759, 1.850725, 
50, 9.056458, 14.015253, 1.853403, 1.892878, 
50, 8.993552, 14.088373, 1.949858, 1.929111, 
50, 8.931305, 14.164039, 2.047838, 1.959603, 
50, 8.870026, 14.242084, 2.147066, 1.984542, 
50, 8.810007, 14.322326, 2.247271, 2.004111, 
50, 8.751512, 14.404570, 2.348195, 2.018488, 
50, 8.694783, 14.488606, 2.449587, 2.027836, 
50, 8.640036, 14.574212, 2.551202, 2.032295, 
50, 8.587499, 14.661082, 2.652723, 2.030427, 
50, 8.537363, 14.748893, 2.753839, 2.022316, 
50, 8.489752, 14.837375, 2.854317, 2.009552, 
50, 8.444760, 14.926240, 2.953923, 1.992130, 
50, 8.402453, 15.015192, 3.052424, 1.970007, 
50, 8.362871, 15.103919, 3.149579, 1.943102, 
50, 8.326031, 15.192098, 3.245144, 1.911305, 
50, 8.291922, 15.279395, 3.338868, 1.874478, 
50, 8.260513, 15.365466, 3.430491, 1.832467, 
50, 8.231726, 15.450034, 3.519824, 1.786667, 
50, 8.205430, 15.532953, 3.606813, 1.739772, 
50, 8.181475, 15.614140, 3.691460, 1.692945, 
50, 8.159714, 15.693516, 3.773765, 1.646090, 
50, 8.140006, 15.771005, 3.853721, 1.599124, 
50, 8.122214, 15.846537, 3.931320, 1.551976, 
50, 8.106205, 15.920043, 4.006549, 1.504591, 
50, 8.091851, 15.991461, 4.079395, 1.456920, 
50, 8.079031, 16.060731, 4.149842, 1.408928, 
50, 8.067627, 16.127798, 4.217871, 1.360590, 
50, 8.057526, 16.192610, 4.283466, 1.311885, 
50, 8.048622, 16.255119, 4.346606, 1.262803, 
50, 8.040812, 16.315281, 4.407273, 1.213337, 
50, 8.033999, 16.373055, 4.465447, 1.163489, 
50, 8.028091, 16.428403, 4.521110, 1.113261, 
50, 8.023001, 16.481292, 4.574243, 1.062661, 
50, 8.018648, 16.531690, 4.624828, 1.011700, 
50, 8.014954, 16.579567, 4.672848, 0.960390, 
50, 8.011846, 16.624898, 4.718285, 0.908746, 
50, 8.009258, 16.667659, 4.761124, 0.856784, 
50, 8.007125, 16.707828, 4.801350, 0.804521, 
50, 8.005390, 16.745387, 4.838949, 0.751975, 
50, 8.003998, 16.780317, 4.873907, 0.699165, 
50, 8.002900, 16.812604, 4.906213, 0.646109, 
50, 8.002049, 16.842233, 4.935854, 0.592827, 
50, 8.001405, 16.869192, 4.962821, 0.539337, 
50, 8.000929, 16.893471, 4.987104, 0.485660, 
50, 8.000590, 16.915059, 5.008694, 0.431814, 
50, 8.000356, 16.933948, 5.027585, 0.377819, 
50, 8.000203, 16.950132, 5.043770, 0.323693, 
50, 8.000108, 16.963605, 5.057243, 0.269457, 
50, 8.000053, 16.974444, 5.068083, 0.216793, 
50, 8.000024, 16.982882, 5.076520, 0.168751, 
50, 8.000009, 16.989217, 5.082856, 0.126715, 
50, 8.000003, 16.993753, 5.087391, 0.090703, 
50, 8.000001, 16.996789, 5.090428, 0.060730, 
50, 8.000000, 16.998629, 5.092268, 0.036804, 
50, 8.000000, 16.999576, 5.093214, 0.018933, 
50, 8.000000, 16.999932, 5.093570, 0.007118, 
50, 8.000000, 17.000000, 5.093638, 0.001363, 
50, 8.000000, 17.000000, 5.093638, 0.000000, 
