Delta Time, Y Point, X Point, Position, Velocity, 
50, 8.000000, 17.000126, 0.000183, 0.007316, 
50, 8.000000, 17.000950, 0.001008, 0.016495, 
50, 8.000000, 17.002806, 0.002863, 0.037111, 
50, 7.999998, 17.006104, 0.006161, 0.065965, 
50, 7.999993, 17.011256, 0.011314, 0.103044, 
50, 7.999980, 17.018673, 0.018730, 0.148326, 
50, 7.999953, 17.028762, 0.028819, 0.201782, 
50, 7.999901, 17.041930, 0.041987, 0.263366, 
50, 7.999808, 17.058581, 0.058638, 0.333021, 
50, 7.999651, 17.079114, 0.079172, 0.410674, 
50, 7.999400, 17.103924, 0.103984, 0.496232, 
50, 7.999016, 17.133401, 0.133463, 0.589585, 
50, 7.998449, 17.167926, 0.167993, 0.690599, 
50, 7.997639, 17.207874, 0.207949, 0.799120, 
50, 7.996518, 17.253406, 0.253494, 0.910907, 
50, 7.995015, 17.304472, 0.304582, 1.021762, 
50, 7.993058, 17.361017, 0.361161, 1.131576, 
50, 7.990570, 17.422979, 0.423174, 1.240248, 
50, 7.987476, 17.490292, 0.490558, 1.347680, 
50, 7.983700, 17.562883, 0.563246, 1.453778, 
50, 7.979173, 17.640674, 0.641169, 1.558453, 
50, 7.973827, 17.723583, 0.724250, 1.661624, 
50, 7.967604, 17.811523, 0.812411, 1.763209, 
50, 7.960457, 17.904405, 0.905568, 1.863136, 
50, 7.952346, 18.002136, 1.003634, 1.961331, 
50, 7.943248, 18.104619, 1.106520, 2.057724, 
50, 7.933154, 18.211757, 1.214133, 2.152246, 
50, 7.922072, 18.323450, 1.326374, 2.244824, 
50, 7.910032, 18.439597, 1.443143, 2.335383, 
50, 7.897082, 18.560095, 1.564335, 2.423837, 
50, 7.883295, 18.684840, 1.689839, 2.510094, 
50, 7.868771, 18.813726, 1.819542, 2.594044, 
50, 7.853637, 18.946645, 1.953320, 2.675562, 
50, 7.838048, 19.083485, 2.091045, 2.754501, 
50, 7.822196, 19.224129, 2.232579, 2.830689, 
50, 7.806305, 19.368453, 2.377775, 2.903923, 
50, 7.790639, 19.516324, 2.526474, 2.973971, 
50, 7.775502, 19.667597, 2.678502, 3.040564, 
50, 7.761241, 19.822110, 2.833672, 3.103402, 
50, 7.748251, 19.979683, 2.991780, 3.162151, 
50, 7.736984, 20.139943, 3.152435, 3.213099, 
